Code,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
MOD,Record Time,Retrieval Time,Node Ref,UID,Module Number,Module ID(hex),Calibration State,Board Project,Drawing,Type,Firmware Version,Issue,Sub-Issue,Serial_WO,Serial_Batch,Sensor Serial,Warm-up(s)
REP,Record Time,Retrieval Time,Node Ref,UID,Module Number,Repeat Sample,Repeat Value(s),,,,,,,,,,
BAS,Record Time,Retrieval Time,Node Ref,UID,CIS(dec),WKT(dec),RXW(ms),Range Addr1,Range Addr2,....,,,,,,,
WUL,Record Time,Retrieval Time,Node Ref,UID,Event Mask(hex),Repeat Time(s),,,,,,,,,,,
SLG,Record Time,Retrieval Time,Node Ref,UID,Event,Start Time,Repeat Period(s),Jitter(s),Event Mask(hex),,,,,,,,
ERR,Record Time,Retrieval Time,Node Ref,UID,Ref tick time(s),Logging Mask,Error Type,Data,,,,,,,,,
BAT,Record Time,Retrieval Time,Node Ref,UID,UsedPercentage %,Volts V,,,,,,,,,,,
PAG,Record Time,Retrieval Time,Node Ref,UID,Page Number,,,,,,,,,,,,
BSL,Record Time,Retrieval Time,Node Ref,UID,RangeNode Ref,RangeAddress,Range(ms),TAT(ms),,,,,,,,,
TMP,Record Time,Retrieval Time,Node Ref,UID,Index,Temperature Deg C,Serial Number,,,,,,,,,,
INC,Record Time,Retrieval Time,Node Ref,UID,Index,Pitch (deg),Roll (deg),Serial Number,,,,,,,,,
DQZ,Record Time,Retrieval Time,Node Ref,UID,Index,Pressure (kPa),Temperature (Deg C),Serial Number,,,,,,,,,
TIM,Record Time,Retrieval Time,Node Ref,UID,,,,,,,,,,,,,
SSP,Record Time,Retrieval Time,Node Ref,UID,Index,SoundSpeed (m/s),Serial Number,,,,,,,,,,
# Data,,,,,,,,,,,,,,,,,
TIM,8/21/22 23:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/21/22 23:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/21/22 23:30,9/3/23 13:20,East,6870,West,2503,239.941,240,,,,,,,,,
BSL,8/21/22 23:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/21/22 23:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/21/22 23:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/21/22 23:45,9/3/23 13:20,East,6870,4,25.1329,0,,,,,,,,,,
INC,8/21/22 23:45,9/3/23 13:20,East,6870,1,-0.1531,1.1406,0,,,,,,,,,
PAG,8/21/22 23:45,9/3/23 13:20,East,6870,5,,,,,,,,,,,,
DQZ,8/21/22 23:45,9/3/23 13:20,East,6870,3,103.55354,32.67,156052,,,,,,,,,
TIM,8/22/22 0:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/22/22 0:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/22/22 3:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/22/22 3:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/22/22 3:30,9/3/23 13:20,East,6870,West,2503,239.945,240,,,,,,,,,
BSL,8/22/22 3:30,9/3/23 13:20,East,6870,North,2504,0,320,,,,,,,,,
SSP,8/22/22 3:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/22/22 3:45,9/3/23 13:20,East,6870,,,,,,,,,,,,,
TMP,8/22/22 3:45,9/3/23 13:20,East,6870,4,20.2102,0,,,,,,,,,,
INC,8/22/22 3:45,9/3/23 13:20,East,6870,1,-0.1531,1.1469,0,,,,,,,,,
DQZ,8/22/22 3:45,9/3/23 13:20,East,6870,3,102.66863,24.03,156052,,,,,,,,,
TIM,8/22/22 4:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
SSP,8/22/22 4:30,9/3/23 13:20,East,6870,7,9996,340064001,,,,,,,,,,
TIM,8/22/22 7:30,9/3/23 13:20,East,6870,,,,,,,,,,,,,
BSL,8/22/22 7:30,9/3/23 13:20,East,6870,Cabled,2501,0,80,,,,,,,,,
BSL,8/22/22 7:30,9/3/23 13:20,East,6870,West,2503,239.95,240,,,,,,,,,
