time_utc,CE_ma_cm,WC_ma_cm,WE_ma_cm,Pn,Pe,Pw,dP_NE,dP_NW,dP_EW,eq_count_e,eq_count_w,eq_e_30d,eq_w_30d
2023-12-28 19:30:00+00:00,164208.9539055642,176561.9180363081,326017.40691861144,0.5620284418003889,0.590975256754532,0.569738271429931,-0.028946814954143085,-0.007709829629542142,0.021236985324600943,0,0,0.0,0.0
2023-12-28 23:30:00+00:00,164208.9580773216,176561.86533856983,326017.16850529163,0.5610998759617142,0.5899998308361583,0.5687041975386828,-0.028899954874444078,-0.0076043215769686645,0.021295633297475414,0,0,0.0,0.0
2023-12-29 03:30:00+00:00,164209.02615779432,176561.88723802287,326017.23993711313,0.5601937074107981,0.5890421854495912,0.5676936985876325,-0.02884847803879309,-0.00749999117683442,0.02134848686195867,0,0,0.0,0.0
2023-12-29 07:30:00+00:00,164208.90366420243,176561.8436462095,326017.18998619827,0.5593774805904633,0.5881649016703566,0.5667831549906202,-0.028787421079893294,-0.007405674400156825,0.02138174667973647,0,0,0.0,0.0
2023-12-29 11:30:00+00:00,164208.85766479984,176561.79739375747,326017.19225895323,0.5586219070317441,0.5873385079116343,0.5659299300936602,-0.028716600879890253,-0.007308023061916136,0.021408577817974117,0,0,0.0,0.0
2023-12-29 15:30:00+00:00,164208.85468374452,176561.6960189173,326016.9424927923,0.5578913680585579,0.5865324460814616,0.5650882494903564,-0.02864107802290372,-0.00719688143179853,0.02144419659110519,0,0,0.0,0.0
2023-12-29 19:30:00+00:00,164208.82744646867,176561.5869185602,326016.9192567053,0.5571205937405682,0.5856800327135379,0.5642100921043489,-0.028559438972969642,-0.0070894983637807,0.021469940609188942,0,0,0.0,0.0
2023-12-29 23:30:00+00:00,164208.80257277106,176561.5490212861,326017.0731891396,0.5562677187154376,0.5847512107231962,0.563240130688792,-0.02848349200775868,-0.006972411973354409,0.021511080034404273,0,0,0.0,0.0
2023-12-30 03:30:00+00:00,164208.85585293538,176561.5784089286,326017.14193332486,0.5553847823912902,0.5837931689429651,0.5622533884895603,-0.02840838655167488,-0.006868606098270114,0.021539780453404767,0,0,0.0,0.0
2023-12-30 07:30:00+00:00,164208.8810199839,176561.62399583307,326017.22422874125,0.5545333023548924,0.5828614923165867,0.5613125150656514,-0.028328189961694283,-0.006779212710758986,0.021548977250935297,0,0,0.0,0.0
2023-12-30 11:30:00+00:00,164208.89561003924,176561.63753949167,326017.26781902526,0.5537111268367834,0.5819560749885306,0.5603926043021796,-0.028244948151747273,-0.006681477465396268,0.021563470686351005,0,0,0.0,0.0
2023-12-30 15:30:00+00:00,164208.95110104678,176561.71964216264,326017.4108376433,0.552279152440233,0.5805992067677699,0.5590434947490431,-0.028320054327536925,-0.006764342308810178,0.021555712018726747,0,0,0.0,0.0
2023-12-30 19:30:00+00:00,164208.99709140824,176561.74908663,326017.26490666467,0.5508171196099858,0.5792173348925002,0.5576423201480608,-0.02840021528251435,-0.006825200538075005,0.021575014744439347,0,0,0.0,0.0
2023-12-30 23:30:00+00:00,164208.98312649995,176561.79368616946,326017.0598311891,0.5492309828658202,0.5776940974335586,0.5561157259834848,-0.028463114567738423,-0.006884743117664627,0.021578371450073797,0,0,0.0,0.0
2023-12-31 03:30:00+00:00,164208.98940822246,176561.8251340611,326016.97853773925,0.5483270635168231,0.5766849133194758,0.5551018023447716,-0.028357849802652657,-0.006774738827948434,0.021583110974704223,0,0,0.0,0.0
2023-12-31 07:30:00+00:00,164208.94414493718,176561.79480022605,326016.90030463104,0.5474594254479063,0.575712621961325,0.5541333809210716,-0.028253196513418732,-0.006673955473165294,0.02157924104025344,0,0,0.0,0.0
2023-12-31 11:30:00+00:00,164208.8786528832,176561.76794518917,326017.0816752253,0.5466045417027866,0.5747547947668019,0.5531681948427258,-0.028150253064015307,-0.0065636531399392295,0.021586599924076078,0,0,0.0,0.0
2023-12-31 15:30:00+00:00,164208.84588132548,176561.66340189177,326017.0652543032,0.5457256832703028,0.5737661917327503,0.5521804212612121,-0.028040508462447544,-0.006454737990909343,0.0215857704715382,0,0,0.0,0.0
2023-12-31 19:30:00+00:00,164208.78224599155,176561.6367570183,326017.09438606084,0.5448475040697176,0.5727813927212431,0.5511880718517499,-0.027933888651525463,-0.006340567782032291,0.02159332086949317,0,0,0.0,0.0
2023-12-31 23:30:00+00:00,164208.80607100387,176561.6501918882,326017.1681943754,0.5439431516092379,0.571765156477919,0.5501636025057186,-0.02782200486868114,-0.0062204508964807115,0.021601553972200427,0,0,0.0,0.0
2024-01-01 03:30:00+00:00,164208.83973930796,176561.67083098154,326016.9653041637,0.543036417816505,0.5707455208586746,0.5491366458443401,-0.02770910304216956,-0.006100228027835053,0.021608875014334505,0,0,0.0,0.0
2024-01-01 07:30:00+00:00,164208.84502838497,176561.57831874577,326016.7652894797,0.5422009063840745,0.5697966057281197,0.5481704888801184,-0.027595699344045266,-0.005969582496043957,0.02162611684800131,0,0,0.0,0.0
2024-01-01 11:30:00+00:00,164208.87361869428,176561.50585401256,326016.67956747266,0.5414148387877038,0.5688916359243656,0.5472536772391166,-0.027476797136661846,-0.005838838451412753,0.021637958685249092,0,0,0.0,0.0
2024-01-01 15:30:00+00:00,164208.91389132946,176561.49992492175,326016.81444590166,0.5406667021583865,0.5680238952935568,0.5463809605434641,-0.027357193135170266,-0.005714258385077553,0.021642934750092713,0,0,0.0,0.0
2024-01-01 19:30:00+00:00,164208.94572359746,176561.5255998569,326016.86650803866,0.5399732915071153,0.5672150930097948,0.5455650755799113,-0.02724180150267952,-0.0055917840727960355,0.021650017429883484,0,0,0.0,0.0
2024-01-01 23:30:00+00:00,164208.8947245552,176561.47778105905,326016.7839368693,0.5384936210640975,0.5657364406428104,0.5441408427212195,-0.027242819578712885,-0.005647221657122059,0.021595597921590826,0,0,0.0,0.0
2024-01-02 03:30:00+00:00,164208.98222171218,176561.55223577985,326016.99179525883,0.5369974365045471,0.5642274321848971,0.5426868573145114,-0.027229995680350005,-0.005689420809964263,0.021540574870385742,0,0,0.0,0.0
2024-01-02 07:30:00+00:00,164209.04223038058,176561.60844746945,326017.116327362,0.5363478955526243,0.5634451324282627,0.5419331883278887,-0.027097236875638364,-0.005585292775264428,0.021511944100373936,0,0,0.0,0.0
2024-01-02 11:30:00+00:00,164209.05613763956,176561.57646553422,326017.2363033416,0.5357575662629847,0.5627246360720937,0.5412216699504484,-0.026967069809109012,-0.0054641036874637505,0.02150296612164526,0,0,0.0,0.0
2024-01-02 15:30:00+00:00,164209.0540330106,176561.6844392655,326017.34955328994,0.5351635576074487,0.5619977174295187,0.5404973023547541,-0.026834159822069936,-0.005333744747305413,0.021500415074764523,0,0,0.0,0.0
