Record Time,Area (m^2),Area MA (m^2)
2024-02-25 15:30:00,807808.1121775749,807697.8347768957
2024-02-25 19:30:00,808138.4748319458,807701.9412791491
2024-02-26 03:30:00,807647.427288475,807700.8755198163
2024-02-26 19:30:00,807768.19067493,807704.83809006
2024-02-27 07:30:00,807880.9984853469,807706.4345626163
2024-02-27 11:30:00,807690.6612146928,807706.2445222798
2024-02-27 19:30:00,807637.6119985898,807705.4274684263
2024-02-28 03:30:00,807361.7019490968,807701.3836387873
2024-02-28 11:30:00,807520.5613241658,807699.2810537335
2024-02-29 07:30:00,807487.2453304114,807700.7326414072
2024-02-29 15:30:00,807698.9886110334,807700.339697932
2024-03-01 03:30:00,807684.3649222483,807701.976711936
2024-03-01 07:30:00,807444.307165118,807700.7879862835
2024-03-01 15:30:00,807771.7692647591,807701.6230601481
2024-03-02 03:30:00,807705.6928835487,807701.6703836758
2024-03-02 15:30:00,807661.0755674104,807701.2037765923
2024-03-02 19:30:00,807351.2553897535,807697.2270903784
2024-03-02 23:30:00,807951.5310588051,807700.0844383382
2024-03-03 03:30:00,807802.4423112482,807701.2217480371
2024-03-03 15:30:00,807570.1033964226,807699.7808870305
2024-03-03 23:30:00,807583.220452891,807700.104811125
2024-03-04 03:30:00,807758.1699538588,807695.5941012952
2024-03-04 11:30:00,807707.173550222,807702.0549130669
2024-03-04 23:30:00,807891.5484694411,807704.1146256364
2024-03-05 03:30:00,807993.0683348886,807707.221654768
2024-03-05 15:30:00,807777.4944028354,807709.335961946
2024-03-06 15:30:00,807860.1753668197,807705.3036252452
2024-03-07 07:30:00,807781.0482808552,807697.8265222242
2024-03-07 11:30:00,807683.1476603497,807697.663423759
2024-03-07 15:30:00,807731.3865273206,807698.0340073146
2024-03-08 03:30:00,807697.8260448825,807702.2274259212
2024-03-08 15:30:00,807828.6098123139,807703.3535388829
2024-03-09 11:30:00,807673.2553944698,807701.6608449485
2024-03-09 15:30:00,807577.7427730345,807700.2839774829
2024-03-09 19:30:00,807662.08624181,807699.8642221459
2024-03-09 23:30:00,807559.2465923566,807698.335769648
2024-03-10 11:30:00,807517.8494506385,807698.0920430258
2024-03-10 23:30:00,807537.0158846909,807697.5873372392
2024-03-11 07:30:00,808095.7949586153,807702.0118663657
2024-03-11 23:30:00,807754.7703306332,807702.3460360088
2024-03-12 03:30:00,807523.6993513799,807700.3828856281
2024-03-12 11:30:00,807731.530170554,807699.5162960311
2024-03-12 23:30:00,808287.8784677,807707.1991367881
2024-03-13 03:30:00,807630.5278621338,807705.1950249092
2024-03-13 07:30:00,807605.176294775,807704.0959179848
2024-03-13 19:30:00,807926.773853624,807705.7120990752
2024-03-13 23:30:00,807997.566626662,807708.7392979314
2024-03-14 03:30:00,807493.871504725,807709.764841106
2024-03-14 07:30:00,807656.1927422093,807709.1695955627
2024-03-14 11:30:00,807774.9723216175,807709.8927024425
2024-03-14 19:30:00,807615.4835802619,807709.7684692241
2024-03-14 23:30:00,807951.6856075148,807711.7191472884
2024-03-15 11:30:00,808283.0347139941,807718.4090556815
2024-03-16 03:30:00,807518.0490805648,807715.5909643493
2024-03-16 07:30:00,807864.9531541418,807717.2505442359
2024-03-16 11:30:00,808145.2205040315,807722.9078599619
2024-03-16 15:30:00,807611.9528558085,807721.6885742019
2024-03-16 19:30:00,807184.6370256365,807715.8510573696
2024-03-18 03:30:00,807944.2397582462,807717.61994541
2024-03-18 07:30:00,807571.0411396956,807717.5483062888
2024-03-18 19:30:00,807685.0474320535,807719.9128154822
2024-03-18 23:30:00,807758.082973302,807717.7241792833
2024-03-19 11:30:00,807549.8755191405,807710.7142789129
2024-03-19 15:30:00,808089.3955186137,807710.6020548148
2024-03-20 03:30:00,807950.4139711851,807711.288738759
2024-03-20 07:30:00,807515.1353432683,807709.1092565869
2024-03-20 15:30:00,808001.3436072889,807712.3206230782
2024-03-21 03:30:00,807757.2065885556,807713.1473378484
2024-03-21 07:30:00,807860.1759555478,807716.74893012
2024-03-21 11:30:00,807790.80730278,807721.3987861647
2024-03-21 15:30:00,807576.6990911092,807719.7910117751
2024-03-22 03:30:00,807485.3460099639,807728.6627484991
2024-03-22 07:30:00,807830.6497471777,807732.4985658065
2024-03-23 03:30:00,807826.465029283,807720.8528718746
2024-03-23 07:30:00,807685.8816493804,807720.9129377695
2024-03-23 15:30:00,807405.7487956969,807721.9371143552
2024-03-23 19:30:00,808021.3181076321,807728.7307539692
2024-03-24 03:30:00,807707.9351486195,807728.4917240227
2024-03-24 15:30:00,807628.0786187971,807724.4609743627
2024-03-24 19:30:00,807659.2376422621,807723.7112808903
2024-03-26 03:30:00,807509.5420231125,807728.7867808434
2024-03-26 07:30:00,808124.0670132218,807733.1954514903
2024-03-26 15:30:00,807375.0792950446,807726.3055262103
2024-03-26 19:30:00,807595.4903927323,807719.6837647564
2024-03-27 03:30:00,807472.038136698,807717.5448726616
2024-03-27 11:30:00,807552.5320541507,807715.5567664144
2024-03-27 15:30:00,807513.9489877926,807713.1566738117
2024-03-27 19:30:00,807851.3132102123,807714.1462278033
2024-03-27 23:30:00,807844.896022781,807715.6844606854
2024-03-28 23:30:00,808387.4320027344,807723.0281862936
2024-03-29 03:30:00,807827.190196216,807728.6364784274
2024-03-29 07:30:00,807373.2379035688,807724.4055430124
2024-03-29 15:30:00,807741.687779671,807727.0380008162
2024-03-29 19:30:00,807466.7496377405,807723.97578478
2024-03-29 23:30:00,807920.2270044965,807726.2577757069
2024-03-30 03:30:00,807574.2867031418,807724.5109817694
2024-03-30 15:30:00,807622.9295245811,807726.3854767102
2024-03-31 03:30:00,807739.6970939969,807727.0288740561
2024-03-31 07:30:00,807527.6700027264,807727.9982093772
2024-04-01 03:30:00,807962.0534579615,807730.4992625422
2024-04-01 07:30:00,808248.8099860004,807736.5261314196
2024-04-01 11:30:00,807982.4002500055,807739.3522707137
2024-04-01 15:30:00,807436.8095409692,807736.7745002948
2024-04-01 23:30:00,807601.9844104233,807737.1927847384
2024-04-02 03:30:00,807836.8872922733,807737.5933077737
2024-04-02 07:30:00,807781.7603591075,807738.1009750305
2024-04-02 15:30:00,807447.0823412942,807736.686939914
2024-04-02 19:30:00,807593.2905231996,807735.0574351784
2024-04-02 23:30:00,807597.6350230898,807735.2212371127
2024-04-03 03:30:00,807494.9963478891,807732.230627954
2024-04-03 07:30:00,807364.5512691248,807728.099399203
2024-04-03 11:30:00,807624.7468688037,807727.1732567152
2024-04-03 15:30:00,807754.6133356242,807727.4781464809
2024-04-03 19:30:00,807273.6310890857,807722.4908161799
2024-04-04 23:30:00,807365.7119233838,807712.9243257142
2024-04-08 15:30:00,807605.9751601589,807710.0371742523
2024-04-09 07:30:00,807856.1824861799,807714.295036305
2024-04-09 15:30:00,807827.3576618787,807718.1161253327
2024-04-09 19:30:00,807582.3739537803,807716.4607329967
2024-04-10 15:30:00,807780.0259656394,807714.777718865
2024-04-10 19:30:00,807833.8177003484,807716.2294259561
2024-04-10 23:30:00,807818.8176193718,807717.010490453
2024-04-11 15:30:00,807421.7190327287,807715.5722188635
2024-04-12 03:30:00,808007.6906458769,807713.1329255498
2024-04-12 15:30:00,807946.7719300544,807717.4028709908
2024-04-12 19:30:00,807630.5767689436,807713.7004074323
2024-04-12 23:30:00,807725.5301151102,807710.2999510379
2024-04-13 03:30:00,807576.1775196624,807711.3287762246
2024-04-13 15:30:00,807657.5083677393,807710.5398152136
2024-04-13 19:30:00,807652.4464054701,807711.0076990771
2024-04-13 23:30:00,808199.3091333598,807714.1421740877
2024-04-14 19:30:00,807565.1290405174,807705.0547604995
2024-04-15 11:30:00,807683.783037282,807699.4141088052
2024-04-15 15:30:00,807809.303668339,807701.9771063705
2024-04-15 19:30:00,807501.3988613228,807706.0908964444
2024-04-16 07:30:00,807780.0176751699,807707.0386756588
2024-04-17 15:30:00,807837.9303063379,807707.424235192
2024-04-17 19:30:00,807862.6604283081,807709.730897481
2024-04-18 15:30:00,807977.1931924995,807709.7215771665
2024-04-19 03:30:00,807714.4755131765,807706.5757310597
2024-04-19 07:30:00,807768.441610588,807709.9531479572
2024-04-19 11:30:00,807591.6118223204,807708.3960252515
2024-04-21 03:30:00,807775.7768087438,807706.2295235579
2024-04-21 11:30:00,807946.1270733875,807707.855964772
2024-04-21 15:30:00,807812.4718408554,807709.3089630511
2024-04-21 19:30:00,807897.9604557647,807711.8932300744
2024-04-22 11:30:00,807936.1168863958,807713.7774444886
2024-04-22 15:30:00,807847.4427481057,807719.9120827165
2024-04-22 19:30:00,807765.0759553704,807716.353163935
2024-04-22 23:30:00,807779.1836081856,807717.2138549521
2024-04-23 11:30:00,807740.6322722802,807717.6617607557
2024-04-23 15:30:00,807539.035583118,807716.4419931438
2024-04-23 19:30:00,807778.6364768674,807718.0775936177
2024-04-23 23:30:00,807904.8375928904,807720.6013773916
2024-04-24 11:30:00,807597.8761715294,807718.9650413134
2024-04-24 15:30:00,807519.5184367092,807716.3407438846
2024-04-24 19:30:00,807413.5178060577,807712.4079784582
2024-04-24 23:30:00,807901.3274124262,807714.8300224834
2024-04-25 23:30:00,807748.0339413233,807718.6746262789
