date_1day,depth_diff_mean,pressure_diff_mean
2018/05/10,-21.2501775481854,-14.2296922729641
2018/05/11,-21.2500972163865,-14.2319666841737
2018/05/12,-21.2510324469934,-14.2361751303441
2018/05/13,-21.2519700538475,-14.2409593017196
2018/05/14,-21.2521843549227,-14.2448290675465
2018/05/15,-21.2531527787426,-14.2479034734283
2018/05/16,-21.2537816429316,-14.2489973428274
2018/05/17,-21.2544464316722,-14.2483131793714
2018/05/18,-21.2565622875936,-14.2473923625069
2018/05/19,-21.2571136853074,-14.2435771274748
2018/05/20,-21.257576376585,-14.2396535521973
2018/05/21,-21.2581432690638,-14.236312853917
2018/05/22,-21.2576296212648,-14.233723123697
2018/05/23,-21.2586855679055,-14.2341706495311
2018/05/24,-21.2597167737454,-14.236469751693
2018/05/25,-21.2608737710613,-14.2401426263679
2018/05/26,-21.261323476298,-14.2439363604793
2018/05/27,-21.2622436707762,-14.2481512762632
2018/05/28,-21.2619845606113,-14.2513546891282
2018/05/29,-21.2624277575126,-14.2543045336113
2018/05/30,-21.2619053838138,-14.2550792636332
2018/05/31,-21.2624791295228,-14.2542574375109
2018/06/01,-21.2646548930993,-14.2523726577438
2018/06/02,-21.2671884100782,-14.2492744396177
2018/06/03,-21.2677685709325,-14.2449488105574
2018/06/04,-21.2684192427926,-14.2420680444599
2018/06/05,-21.2685892361111,-14.2408455555556
2018/06/06,-21.2696844537085,-14.2421141045683
2018/06/07,-21.2717135351427,-14.2454769137091
2018/06/08,-21.2723143278916,-14.2489481069816
2018/06/09,-21.2732139474142,-14.2533227581403
2018/06/10,-21.2738081625565,-14.257653317124
2018/06/11,-21.273764286955,-14.260932412715
2018/06/12,-21.2744114047288,-14.2631816585535
2018/06/13,-21.2739811425595,-14.2626537940615
2018/06/14,-21.275344469526,-14.2613253863518
2018/06/15,-21.274428678131,-14.257005384749
2018/06/16,-21.2725879572904,-14.2514212497812
2018/06/17,-21.2733121633362,-14.2477771503041
2018/06/18,-21.2712122743056,-14.2433516840278
2018/06/19,-21.2691433159722,-14.2407805902778
2018/06/20,-21.2637153552197,-14.2381092409241
2018/06/21,-21.2601716171617,-14.2385219558798
2018/06/22,-21.2575031114201,-14.2405370067791
2018/06/23,-21.2574358901683,-14.2439848007086
2018/06/24,-21.2541664929651,-14.2454126454751
2018/06/25,-21.2529602606429,-14.2469368896612
2018/06/26,-21.2519413960757,-14.247490189269
2018/06/27,-21.249580795277,-14.245748202813
2018/06/28,-21.2492664176512,-14.2435458651842
2018/06/29,-21.2504022920646,-14.2404238756729
2018/06/30,-21.2493598671561,-14.2346026568782
2018/07/01,-21.2486158214658,-14.2295788815561
2018/07/02,-21.2495243834665,-14.2274721431052
2018/07/03,-21.2502960972018,-14.2480209867452
2018/07/04,-21.2491206999457,-14.2212566739012
2018/07/05,-21.2504135968379,-14.2363667193676
2018/07/06,-21.2506428507795,-14.2388480400891
2018/07/07,-21.2510845432442,-14.241221622091
2018/07/08,-21.2528607328934,-14.2455011462313
2018/07/09,-21.2532029181866,-14.2479570088588
2018/07/10,-21.254511099531,-14.2496402640264
2018/07/11,-21.2563552197325,-14.2497977939899
2018/07/12,-21.2574079756733,-14.2475380886186
2018/07/13,-21.2591372351511,-14.2444771795762
2018/07/14,-21.2613018238666,-14.241470661803
2018/07/15,-21.259831938173,-14.2368691906912
2018/07/16,-21.2599082493921,-14.2349401007294
2018/07/17,-21.2591417361111,-14.2345253472222
2018/07/18,-21.2597603163567,-14.2370705197288
2018/07/19,-21.2598459426586,-14.2407780712424
2018/07/20,-21.2602859847169,-14.2452825112886
2018/07/21,-21.2608219673271,-14.2493932394856
2018/07/22,-21.2625562000695,-14.2531048801667
2018/07/23,-21.2642465658146,-14.2553574334898
2018/07/24,-21.2643266192047,-14.2551917346762
2018/07/25,-21.2658036824735,-14.2546669966997
2018/07/26,-21.2683578947369,-14.2535461351398
2018/07/27,-21.2702762111478,-14.2508158360826
2018/07/28,-21.2723793331018,-14.2476425842306
2018/07/29,-21.2727822793607,-14.2439850416956
2018/07/30,-21.2760730161486,-14.2443261503733
2018/07/31,-21.2738549685094,-14.2437515220434
2018/08/01,-21.2743446801113,-14.2475351529903
2018/08/02,-21.2752550191038,-14.2527426189649
2018/08/03,-21.2764481848185,-14.2579307278096
2018/08/04,-21.2762358506945,-14.2610968576389
2018/08/05,-21.2779537432691,-14.2642253256905
2018/08/06,-21.2761607570759,-14.2637229032818
2018/08/07,-21.2761083737158,-14.2619154487304
2018/08/08,-21.2781005381944,-14.2623572048611
2018/08/09,-21.2786330437804,-14.2592801772064
2018/08/10,-21.2811790291262,-14.2570398834952
2018/08/11,-21.2778525205158,-14.2423366354045
2018/08/12,-21.2794690050356,-14.2486024657058
2018/08/13,-21.2793019097222,-14.2476934895833
2018/08/14,-21.2789933287005,-14.2489303161918
2018/08/15,-21.2765723892268,-14.2506121807124
2018/08/16,-21.2766535974974,-14.2549320994091
2018/08/17,-21.2760441278666,-14.2587875781793
2018/08/18,-21.2773957103161,-14.2628925147621
2018/08/19,-21.2791993402778,-14.2656581597222
2018/08/20,-21.2795248914365,-14.2657142608998
2018/08/21,-21.2811410590278,-14.2651828125
2018/08/22,-21.2823839020946,-14.2621054601083
2018/08/24,-21.2858525641026,-14.2658974358974
2018/08/25,-21.2841707435719,-14.2533250694927
2018/08/26,-21.2852462847222,-14.2513151388889
2018/08/27,-21.2866077256945,-14.2515596180556
2018/08/28,-21.2878644900162,-14.2564051268214
2018/08/30,-21.277258041958,-14.2482890442891
2018/08/31,-21.2899955995055,-14.2729975030902
2018/09/01,-21.2919215161064,-14.274087885154
2018/09/02,-21.2934272443132,-14.2759730161486
2018/09/03,-21.29456682876,-14.2759355158041
2018/09/04,-21.2960016325113,-14.2747903438694
2018/09/05,-21.29597178106,-14.2717164900087
2018/09/06,-21.2980467708333,-14.2693918402778
2018/09/07,-21.2998441028313,-14.2667104220948
2018/09/08,-21.3006737756165,-14.2639820076415
2018/09/09,-21.3013233188532,-14.2626131190269
2018/09/10,-21.3017915277778,-14.2632830381945
2018/09/11,-21.3026525456125,-14.2664306168549
2018/09/12,-21.305428125,-14.2724533680556
2018/09/13,-21.3059762540963,-14.2731167380892
2018/09/14,-21.2998812010444,-14.2768446475196
2018/09/15,-21.306515447437,-14.2841552736751
2018/09/16,-21.3080459281125,-14.2855358569196
2018/09/17,-21.3095041348159,-14.2850197185545
2018/09/18,-21.3092321796889,-14.2819840237721
2018/09/19,-21.311465181956,-14.2804588893101
2018/09/20,-21.3130197789848,-14.2772224199288
2018/09/21,-21.3145684265552,-14.2749312423767
2018/09/22,-21.313982372409,-14.27176922139
2018/09/23,-21.3139128330615,-14.2705025919884
2018/09/24,-21.3162872263507,-14.2726047399076
2018/09/25,-21.3162983558641,-14.2754510230179
2018/09/26,-21.3200796594982,-14.282773046595
2018/09/27,-21.3242082292849,-14.2910152478244
2018/09/28,-21.3182370967742,-14.2942650537634
2018/10/02,-21.3141210526316,-14.2739875
2018/10/03,-21.3251119302539,-14.2860766901193
2018/10/04,-21.3227257296734,-14.2828739402363
2018/10/05,-21.3251878735233,-14.2813426511466
2018/10/06,-21.3281860097324,-14.2813251477233
2018/10/07,-21.327802068486,-14.2806957413523
2018/10/08,-21.3356276407227,-14.2875231410702
2018/10/09,-21.3334684860073,-14.2894773857118
2018/10/10,-21.3290684860073,-14.2910474187381
2018/10/11,-21.3283523883967,-14.2951082508251
2018/10/12,-21.3276938140747,-14.2979943353606
2018/10/13,-21.3283721633362,-14.29972589053
2018/10/14,-21.3268327888792,-14.2977273153779
2018/10/15,-21.3245759777508,-14.2934616026421
2018/10/16,-21.3223201802796,-14.287742384106
2018/10/17,-21.3253117109196,-14.2862022859152
2018/10/18,-21.3253587428373,-14.2829422469179
2018/10/19,-21.3241272964056,-14.279460079875
2018/10/20,-21.3231990795415,-14.277327023272
2018/10/21,-21.3258520938315,-14.2791979322328
2018/10/22,-21.3240744351755,-14.280043030935
2018/10/23,-21.3224131492096,-14.2827746221991
2018/10/24,-21.3273222338023,-14.2908849748133
2018/10/25,-21.3256114121939,-14.2942235365642
2018/10/26,-21.3259617228204,-14.2974122438347
2018/10/27,-21.3294264721209,-14.3004973771061
